children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Coating painting and spraying machine setters operators and tenders,151400,84,92,76,very high,very high,high,very high,,
,Private detectives and investigators    ,36200,67,54,76,high,medium to high,high,medium to high,,
,Welders cutters solderers and brazers    ,438900,61,82,30,medium to high,high,low,high,,
,Couriers and messengers    ,121800,30,68,13,low,high,very low,high,,
,Childcare workers    ,1146400,38,53,25,low to medium,medium to high,low,medium to high,,
,Musical instrument repairers and tuners    ,8900,39,67,46,low to medium,high,low to medium,high,,
,Precision instrument and equipment repairers all other    ,12200,39,67,46,low to medium,high,low to medium,high,,
,Postal service clerks    ,78100,21,64,3,low,medium to high,very low,medium to high,,
,Lathe and turning machine tool setters operators and tenders metal and plastic    ,28200,18,59,34,low,medium to high,low to medium,medium to high,,
,Dredge operators    ,1600,99,96,83,very high,very high,high,very high,,
,Pile driver operators    ,3600,99,100,83,very high,very high,high,very high,,
,Nuclear power reactor operators    ,5300,100,82,100,very high,high,very high,high,,
,Postal service mail sorters processors and processing machine operators    ,98500,21,64,3,low,medium to high,very low,medium to high,,
,Media and communication workers all other    ,35200,1,1,1,very low,very low,very low,very low,,
,Title examiners abstractors and searchers    ,63600,16,3,25,very low,very low,low,very low,,
,Etchers and engravers    ,12900,72,91,34,high,very high,low to medium,very high,,
,Transit and railroad police    ,4500,63,38,77,medium to high,low to medium,high,low to medium,,
,Detectives and criminal investigators    ,113500,63,38,77,medium to high,low to medium,high,low to medium,,
